pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,st_teff,habitable
Kepler-183 b,Kepler-183,2014.0,2.06,5.687945,0.064,5888.0,0
Kepler-183 c,Kepler-183,2014.0,2.27,11.637071,0.103,5888.0,0
Kepler-1834 c,Kepler-1834,2023.0,1.22,0.766691517,0.015,4821.0,0
Kepler-184 b,Kepler-184,2014.0,2.36,10.687576,0.092,5788.0,0
Kepler-184 c,Kepler-184,2014.0,1.97,20.303005,0.141,5788.0,0
Kepler-184 d,Kepler-184,2014.0,2.49,29.022358,0.179,5788.0,0
Kepler-185 b,Kepler-185,2014.0,1.17,1.6329,0.026,5208.0,0
Kepler-185 c,Kepler-185,2014.0,2.02,20.729042,0.139,5208.0,0
Kepler-1859 c,Kepler-1859,2023.0,1.66,3.59645081,0.0473,5887.0,0
Kepler-186 b,Kepler-186,2014.0,1.07,3.8867907,0.0343,3788.0,0
Kepler-186 c,Kepler-186,2014.0,1.25,7.267302,0.0451,3788.0,0
Kepler-186 d,Kepler-186,2014.0,1.4,13.342996,0.0781,3788.0,0
Kepler-186 e,Kepler-186,2014.0,1.27,22.407704,0.11,3788.0,0
Kepler-186 f,Kepler-186,2014.0,1.17,129.9441,0.432,3755.0,0
Kepler-1869 c,Kepler-1869,2023.0,0.74,1.716828304,0.028,5808.0,0
Kepler-187 b,Kepler-187,2014.0,1.41,4.938864,0.059,6105.0,0
Kepler-187 c,Kepler-187,2014.0,2.67,10.640263,0.099,6105.0,0
Kepler-1876 b,Kepler-1876,2021.0,0.853,6.99205,0.0758,6104.0,0
Kepler-188 b,Kepler-188,2014.0,1.68,2.061897,0.032,6021.0,0
Kepler-188 c,Kepler-188,2014.0,3.19,5.996553,0.066,6021.0,0
Kepler-189 b,Kepler-189,2014.0,1.21,10.399931,0.088,5235.0,0
Kepler-189 c,Kepler-189,2014.0,2.38,20.134866,0.137,5235.0,0
Kepler-1894 c,Kepler-1894,2023.0,1.21,5.05368985,0.0576,5772.0,0
Kepler-19 b,Kepler-19,2011.0,2.209,9.28699,0.0846,5541.0,0
Kepler-190 b,Kepler-190,2014.0,1.56,2.019999,0.03,5106.0,0
Kepler-190 c,Kepler-190,2014.0,1.46,3.763024,0.045,5106.0,0
